"","season","team","total_experience","num_players","total_salaries","min_salary","max_salary","median_salary","total_points","wins","losses"
"278",2019,"DEN",60,18,117304721,35000,29230769,2097911.5,9075,54,28
"279",2019,"DET",86,17,125244035,838464,32088932,3275280,8778,41,41
"280",2019,"GSW",98,16,146186409,486892,37457154,1904860.5,9650,57,25
"281",2019,"HOU",99,19,124810135,23685,35654150,917272,9341,53,29
"282",2019,"IND",72,22,110804431,47371,2.1e+07,2533680,8857,48,34
"283",2019,"LAC",79,23,118370702,94742,21587579,3500000,9442,48,34
"284",2019,"LAL",84,18,107275731,52108,35654150,2446943.5,9165,37,45
"285",2019,"MEM",92,22,124877079,47371,30521116,1554707.5,8490,33,49
"286",2019,"MIA",85,19,151716389,4737,26837720,2955840,8668,39,43
"287",2019,"MIL",91,20,125890474,99290,24157304,2958140,9686,60,22
"288",2019,"MIN",89,20,121968101,56845,25467250,2418970,9223,36,46
"289",2019,"NOP",68,20,114806900,34183,25976111,1981214.5,9466,33,49
"290",2019,"NYK",56,19,123388448,42634,22897200,3819960,8575,17,65
"291",2019,"OKC",68,18,143896557,47371,35654150,2256363.5,9387,49,33
"292",2019,"ORL",47,18,114566809,268083,21590909,3752177,8800,42,40
"293",2019,"PHI",82,18,112942947,59820,25467250,2639700,9445,51,31
"294",2019,"PHO",79,25,109405766,47371,19245370,3208630,8815,19,63
"295",2019,"POR",63,18,132512467,333333,27977689,3158659,9402,53,29
"296",2019,"SAC",53,21,103537060,47371,24107258,3e+06,9363,39,43
"297",2019,"SAS",95,18,122398215,59820,27739975,2723660,9156,48,34
"298",2019,"TOR",83,17,136242478,106237,31200000,1544951,9384,58,24
"299",2019,"UTA",74,15,111744016,1378242,23241573,5250000,9161,50,32
"300",2019,"WAS",97,21,124396126,9474,25434262,2494346,9350,32,50
