"","season","team","total_experience","num_players","total_salaries","min_salary","max_salary","median_salary","total_points","wins","losses","adjusted_salaries","adjusted_max_salary","adjusted_min_salary"
"206",2016,"SAC",75,18,71840771,35000,14728844,2249593.5,8740,33,49,65270226.1233047,13381746.3959968,31798.9058652456
"207",2016,"SAS",128,18,87365099,317475,19500000,1499187,8490,67,15,79374701.6859675,17716533.2677797,288438.789701967
"208",2016,"TOR",62,20,71934665,25000,13500000,2171000,8422,56,26,65355532.5937994,12265292.262309,22713.5041894611
"209",2016,"UTA",36,21,64783884,50000,15409570,1348440,8010,40,42,58858760.8257426,14000213.3101118,45427.0083789223
"210",2016,"WAS",89,18,84237317,176375,15851950,3650000,8534,41,41,76532986.1035386,14402133.3094451,160243.772056648
"211",2017,"ATL",79,20,96007250,50000,23180275,2299942.5,8459,43,39,85406971.7118146,20620912.3914817,44479.4386422977
"212",2017,"BOS",63,20,93465328,25000,26540100,2500227,8857,53,29,83145706.4391645,23609774.9902089,22239.7193211488
"213",2017,"BRK",64,27,84083139,31969,21165675,1315448,8673,20,62,74799416.4400457,18828746.8497063,28439.2634791123
"214",2017,"CHI",56,17,92571387,69500,23200000,2092200,8435,41,41,82350466.5619778,20638459.5300261,61826.4197127937
"215",2017,"CHO",63,18,90175926,119494,20869566,2140829.5,8601,36,46,80219491.3505875,18565331.6077676,106300.520822454
"216",2017,"CLE",145,18,127254579,5145,30963450,2025829.5,9048,51,31,113204244.771638,27544737.488577,4576.93423629243
"217",2017,"DAL",80,26,103994075,20000,2.5e+07,665468.5,8029,33,49,92511961.5625,22239719.3211488,17791.7754569191
"218",2017,"DEN",84,23,82573997,50000,15050000,2200000,9161,40,42,73456900.6602154,13388311.0313316,44479.4386422977
"219",2017,"DET",54,19,108968495,11949,22116750,3678319,8309,37,45,96937149.7459204,19674812.4918407,10629.6962467363
"220",2017,"GSW",102,23,101725589,35000,26540100,1171560,9503,67,15,90493941.8855418,23609774.9902089,31135.6070496084
"221",2017,"HOU",56,18,90498298,11534,26540100,1398120,9458,55,27,80506269.8624674,23609774.9902089,10260.5169060052
"222",2017,"IND",89,21,94008504,25000,18314532,2463840,8618,42,40,83628909.7104439,16292402.0471279,22239.7193211488
"223",2017,"LAC",124,18,116237541,3e+05,22868827,1877329.5,8911,51,31,103403611.456821,20343851.7473564,266876.631853786
"224",2017,"LAL",65,19,95226183,60000,1.8e+07,3267120,8575,26,56,84712143.2777742,16012597.9112272,53375.3263707572
"225",2017,"MEM",90,22,111209189,25000,26540100,1417154.5,8239,43,39,98930445.9717037,23609774.9902089,22239.7193211488
"226",2017,"MIA",60,20,101818405,31969,23741060,2745720,8460,41,41,90576509.9570823,21119780.4314621,28439.2634791123
"227",2017,"MIL",79,20,106512121,35166,17100000,2468463.5,8497,42,40,94751987.0136097,15211968.0156658,31283.2787859008
"228",2017,"MIN",61,19,81621379,138414,13550000,3500000,8657,31,51,72609462.3826044,12053927.8720627,123131.5404047
"229",2017,"NOP",80,25,101707386,20580,22116750,1227286,8556,34,48,90477748.7011097,19674812.4918407,18307.7369451697
